,Name,Price,Link,Description
10,"Sensur Ayurvedic Fast Pain Relief Oil Roll On | For Headache, Cold, Nasal Congestion, Neck, Body & Joint Pain Relief",₹120,https://www.1mg.com/otc/sensur-ayurvedic-fast-pain-relief-oil-roll-on-for-headache-cold-nasal-congestion-neck-body-joint-pain-relief-otc133273,"Sensur Oil Roll On is a proprietary ayurvedic formulation, a roll on that acts as a natural pain reliever in case of headache, cold, neck and joint pains, nasal congestion.Key Ingredients:Peppermint Oil (Mentha arvensis) PL.SatvaCamphor (Karpura) (Cinnamomum Camphora) Wintergreen Oil (Gandhapura Oil)Usatva Gandhapura (Geutheria Fragrantissima) L. TalaEucalyptus Oil (Nilgiri) L. TalaInert base Flavour Key Benefits:Ayurvedic natural pain relief medicineProvides rapid relief from headache, nasal congestion, cold, sinusitis, and rhinitisRoll-on for easy application and convenient to useEasy to carry and has an energizing aromaDirections For Use:Apply Sensur Roll-On on the affected areaRevolve roll on in a circular motionCover the areaApply it 2 or 3 times a daySafety Information:Read the label carefully before useKeep out of reach of the childrenStore in a cool dry placeFor topical application onlyAvoid contact with eyes & open wounds"
11,"Iodex Balm |  For Headache, Sprains, Neck, Shoulder, Joints, Back & Muscular Pain",₹88,https://www.1mg.com/otc/iodex-balm-for-headache-sprains-neck-shoulder-joints-back-muscular-pain-otc328583,"Iodex Balm is a power-packed formula of 5 natural ingredients that helps provide soothing and effective relief from different types of body pains. Iodex balm is a trusted name in Indian households with more than 100 years of expertise in relieving different types of body pain. The balm starts to work in just 4 minutes. It relieves aches and pains of muscles and joints associated with one or more of the following: simple backache, pain in the muscles and joints of the lower back, strains and sprains (involving muscles, tendons, and/or ligaments) and arthritis. Iodex multipurpose balms have natural ingredients.Key Ingredients:Wintergreen oil (Gandapura tel) 20%Turpine ka tel 4%Pudina ka Phool (Peppermint Satva) 3%Nilgiri tel (Eucalyptus oil) 4%Clove oil (Lavang ka tel) 0.10%Ointment baseKey Benefits:Iodex balm is a power-packed formula with 5 natural ingredients that get to work in 4 minutes and provide long-lasting relief from body pains and achesMade up of natural ingredients, this balm has been a trusted name in Indian households for its expertise in relieving pain in joints and musclesIodex helps provide effective relief from different types of musculoskeletal pains like neck/shoulder pain, back pain, joint pain, sprain, strains and arthritisThe Ayurvedic balm provides a warming effect upon massaging that reduces inflammation and provides reliefConcerns It Can Help With: Pain reliefProduct Form: BalmDirections For Use:Rub on the affected area till it is absorbed in the skin and cover itSafety Information:Store in a cool and dry place away from direct sunlightKeep away from childrenDo not use if the seal is damaged or missingRead the label carefully before use"
12,"Kayam Churna | Eases Constipation, Headache & Hyperacidity",₹170,https://www.1mg.com/otc/kayam-churna-eases-constipation-headache-hyperacidity-otc598364,"Kayam Churna is an ayurvedic preparation that provides relief from constipation, acidity, headache, burning sensation of the eyes, soles of the feet or hands, skin ailments, burning in the chest, and nausea. It helps stay fresh and healthy throughout the day.Key Ingredients:Senna LeavesBlack SaltNishothHimejiSvarjika KsharaJethi MadhIndications:ConstipationAcidityHeadacheBurning sensation in the eyes, feet, or handsSkin ailmentsBurning sensation in the chestNauseaNet Quantity: 100 gmProduct Form: PowderKey Benefits:The powder can help alleviate constipation and indigestionIt helps reduce acidity and burning sensation in the chestIt aids in improving the digestion processIt can be beneficial for skin ailments and nauseaDosage:½ to 1 teaspoon as per requirement at bedtimeIndividual results may vary and dose may be adjusted accordinglySafety Information:Read the label carefully before useStore in a cool and dry placeKeep out of reach of childrenThis product is not recommended during pregnancy"
13,Zandu Quick Relief Roll-On | Helps Relieve Headache,₹45.8,https://www.1mg.com/otc/zandu-quick-relief-roll-on-helps-relieve-headache-otc600556,"Zandu Quick Relief Roll-On is a rapid-response ayurvedic remedy infused with potent essential oils, presenting a clever and refreshing approach to addressing headaches on the fly, regardless of your location.Ingreedients:Mentha sp. - Satva, Gaultheria Fragrantissima - OL, Cinnamomum Camphora - Satva, Eucalyptus Globulus - OL., Capsicum Annuum - Satva, Melaleuca Leucadendron - OL, Elettaria, Cardamomum - OL, Chlorophyll, Quinazarine Green SS, Perfumed Base Q.S.Indications:Headache Item Form: Roll-OnNet Quantity: 9mlFlavour: Fragrance Key Benefits;Reduces Pain and Inflammation: Helps in relieving headaches effectively by counter-irritant actionFast, Easy and Convenient Solution: Acts fast with a non-messy and non-greasy convenient roll-onPocket-sized Pain Relief: Relieves headaches on-the-go with a no-contact pocket-sized solutionDirections for Use:For adults and children above 5 yearsDuring a headache, gently apply on the foreheadRepeat if the pain persistsSafety Information: For adults and children above 5 yearsKeep out of reach of children below 5 yearsReplace cap tightly. Avoid contact with eyes, nostrils, mucous membranes and broken or irritated skinConsult a doctor if the condition worsensDo not apply on open woundsDo not use if allergic to any ingredientFrequently asked questions:Q. What is Zandu Roll-On?It is a convenient and effective Ayurvedic solution containing essential oils, designed to provide quick relief from headaches and topical pains.Q. How does Quick Relief Roll-On work?It works by utilizing the power of Ayurvedic ingredients like mentha satva, eucalyptus, capsicum, Gaultheria oil, cardamom, and camphor. These ingredients work together to provide a cooling and soothing effect on the affected area, relieving pain and pressure.Q. What is the benefit of using Zandu Roll-On for headaches?It offers quick relief from headaches, providing a non-messy and non-greasy solution. It contains natural ingredients that help soothe nerves and reduce pain, allowing you to tackle headaches effectively.Q. How is Zandu Roll-On applied?It is applied by gently rolling it onto the affected area. It offers a hands-free application that is easy to use and mess-free.Q. Does it have a strong fragrance?No, It gives a pleasant fragrance due to the presence of ingredients like cardamom and camphor. This adds to the overall soothing experience when applied.Q. Is Zandu Roll-On suitable for sensitive skin?This Roll-On is formulated with Ayurvedic ingredients and is generally well-tolerated. However, if you have sensitive skin or any concerns, it's advisable to do a patch test before using it extensively.Q. Does Zandu Roll-On have any side effects?It is formulated with natural ingredients and is generally well-tolerated. However, individual reactions can vary. If any adverse reactions occur, discontinue use and consult a healthcare professional.Q. How effective is the Zandu Quick Relief Roll-On for headaches?The roll-on includes substances designed to give immediate relief from headache symptoms. When used, the components in the medication operate through multiple processes to relieve pain and discomfort.Q. What sorts of headaches is this roll-on intended to treat?The roll-on is intended to treat a variety of headaches, including tension headaches, stress headaches, and moderate migraines. It seeks treatment by addressing the underlying causes of these headaches. Q. Is the roll-on appropriate for all skin types?Yes, the roll-on is non-greasy and non-messy, making it suitable for various skin types. If you have sensitive skin or allergies, you should do a patch test before applying it to a wider area.Q. How should I apply the roll-on?Apply the cream to your temples, forehead, or any other part of your body where you are suffering from headache pain. After application, gently massage the affected region. Make sure you follow the instructions on the container.Q. Can I apply the roll-on while on the go?Absolutely! The pocket-sized shape of the roll-on makes it ideal for on-the-go applications. It is small enough to fit in your backpack or pocket and may be used whenever you need immediate comfort."
14,"Zandu Balm | Effective Relief from Cold, Headache & Body Ache",₹137,https://www.1mg.com/otc/zandu-balm-effective-relief-from-cold-headache-body-ache-otc629666,"Zandu Balm is a pain-relief balm that can help provide relief from headaches, body aches, and colds. It provides instant and long-lasting relief from body pains of all kinds. The balm is non-greasy and penetrates swiftly into the affected areas. The analgesic properties help relieve the pain effectively. It is powered by ayurvedic ingredients like menthasatva, and eucalyptus helps reduce different kinds of topical pains. Gaultheria oil acts as a counter-irritant to relieve muscle pain. Mentha present in the balm enhances the cooling effect and helps to soothe the affected area.Key Ingredients:MenthaGaultheriaEucalyptusTrachyspermum ammiBase Q. SIndications:This is indicated in cases of headache, cold, and backache.Product Form: Solid balmKey Benefits:Headache: Helps provide relief from headaches effectivelyCold: May aid in relieving cough and coldBackache: Helps relieve lower backacheDirections For Use:Massage gently on the affected area.Safety Information:Read the label carefully before useStore in a cool and dry place away from direct sunlightKeep out of reach of the children"
15,"Kayam Churna | Eases Constipation, Headache & Hyperacidity",₹58,https://www.1mg.com/otc/kayam-churna-eases-constipation-headache-hyperacidity-otc489943,"Kayam Churna is an ayurvedic preparation that provides relief from constipation, acidity, headache, burning sensation of the eyes, soles of the feet or hands, skin ailments, burning in the chest, and nausea. It helps stay fresh and healthy throughout the day.Key Ingredients:Senna LeavesBlack SaltNishothHimejiSvarjika KsharaJethi MadhIndications:ConstipationAcidityHeadacheBurning sensation in the eyes, feet, or handsSkin ailmentsBurning sensation in the chestNauseaNet Quantity: 100 gmProduct Form: PowderKey Benefits:The powder can help alleviate constipation and indigestionIt helps reduce acidity and burning sensation in the chestIt aids in improving the digestion processIt can be beneficial for skin ailments and nauseaDosage:½ to 1 teaspoon as per requirement at bedtimeIndividual results may vary and dose may be adjusted accordinglySafety Information:Read the label carefully before useStore in a cool and dry placeKeep out of reach of childrenThis product is not recommended during pregnancy"
16,"Zandu Balm | Effective Relief from Cold, Headache & Body Ache",₹101,https://www.1mg.com/otc/zandu-balm-effective-relief-from-cold-headache-body-ache-otc500889,"Zandu Balm is a pain-relief balm that can help provide relief from headaches, body aches, and colds. It provides instant and long-lasting relief from body pains of all kinds. The balm is non-greasy and penetrates swiftly into the affected areas. The analgesic properties help relieve the pain effectively. It is powered by ayurvedic ingredients like menthasatva, and eucalyptus helps reduce different kinds of topical pains. Gaultheria oil acts as a counter-irritant to relieve muscle pain. Mentha present in the balm enhances the cooling effect and helps to soothe the affected area.Key Ingredients:MenthaGaultheriaEucalyptusTrachyspermum ammiBase Q. SIndications:This is indicated in cases of headache, cold, and backache.Product Form: Solid balmKey Benefits:Headache: Helps provide relief from headaches effectivelyCold: May aid in relieving cough and coldBackache: Helps relieve lower backacheDirections For Use:Massage gently on the affected area.Safety Information:Read the label carefully before useStore in a cool and dry place away from direct sunlightKeep out of reach of the children"
17,"Kayam Churna | Eases Constipation, Headache & Hyperacidity",₹105,https://www.1mg.com/otc/kayam-churna-eases-constipation-headache-hyperacidity-otc327756,"Kayam Churna is an ayurvedic preparation that provides relief from constipation, acidity, headache, burning sensation of the eyes, soles of the feet or hands, skin ailments, burning in the chest, and nausea. It helps stay fresh and healthy throughout the day.Key Ingredients:Senna LeavesBlack SaltNishothHimejiSvarjika KsharaJethi MadhIndications:ConstipationAcidityHeadacheBurning sensation in the eyes, feet, or handsSkin ailmentsBurning sensation in the chestNauseaNet Quantity: 100 gmProduct Form: PowderKey Benefits:The powder can help alleviate constipation and indigestionIt helps reduce acidity and burning sensation in the chestIt aids in improving the digestion processIt can be beneficial for skin ailments and nauseaDosage:½ to 1 teaspoon as per requirement at bedtimeIndividual results may vary and dose may be adjusted accordinglySafety Information:Read the label carefully before useStore in a cool and dry placeKeep out of reach of childrenThis product is not recommended during pregnancy"
18,Amrutanjan Headache Non-Greasy Roll-On,₹40,https://www.1mg.com/otc/amrutanjan-headache-non-greasy-roll-on-otc749110,"Amrutanjan Headache Roll-On is a non-greasy on-the-go ayurvedic medicine to relieve and alleviate headaches. Headache roll-on works excellent for occasional aches, pains, sprains and headaches. When rolled onto the skin, it provides a delightful heating sensation and relief. Key IngredientsPudina flowerGandhapura oilKapoor powderLavang oilKatuvira satvaIndications It is indicated in headaches.Product Form:Roll on.Key Benefits:Amrutanjan roll-on for headache pain relief features accessible roll-on technology for easy applicationThe ingredients in this formula are non-greasy and won't leave any stains or residues on the skin while providing pain reliefBecause of its portable size, this roll-on can be carried anywhere easily and is readily available when you require instant pain reliefWith a refreshing aroma, this pain roll-on is highly convenient to use by giving a strong cooling action on the skinDosageGently apply on the forehead and repeat 4-5 times a daySuitable for adults and children above five yearsSafety Information For external use onlyRead the label carefully before useStore in a cool and dry place, away from sunlightKeep out of reach of children"
19,"Iodex Balm |  For Headache, Sprains, Neck, Shoulder, Joints, Back & Muscular Pain",₹44,https://www.1mg.com/otc/iodex-balm-for-headache-sprains-neck-shoulder-joints-back-muscular-pain-otc328668,"Iodex Balm is a power-packed formula of 5 natural ingredients that helps provide soothing and effective relief from different types of body pains. Iodex balm is a trusted name in Indian households with more than 100 years of expertise in relieving different types of body pain. The balm starts to work in just 4 minutes. It relieves aches and pains of muscles and joints associated with one or more of the following: simple backache, pain in the muscles and joints of the lower back, strains and sprains (involving muscles, tendons, and/or ligaments) and arthritis. Iodex multipurpose balms have natural ingredients.Key Ingredients:Wintergreen oil (Gandapura tel) 20%Turpine ka tel 4%Pudina ka Phool (Peppermint Satva) 3%Nilgiri tel (Eucalyptus oil) 4%Clove oil (Lavang ka tel) 0.10%Ointment baseKey Benefits:Iodex balm is a power-packed formula with 5 natural ingredients that get to work in 4 minutes and provide long-lasting relief from body pains and achesMade up of natural ingredients, this balm has been a trusted name in Indian households for its expertise in relieving pain in joints and musclesIodex helps provide effective relief from different types of musculoskeletal pains like neck/shoulder pain, back pain, joint pain, sprain, strains and arthritisThe Ayurvedic balm provides a warming effect upon massaging that reduces inflammation and provides reliefConcerns It Can Help With: Pain reliefProduct Form: BalmDirections For Use:Rub on the affected area till it is absorbed in the skin and cover itSafety Information:Store in a cool and dry place away from direct sunlightKeep away from childrenDo not use if the seal is damaged or missingRead the label carefully before use"
20,Bakson B12 Headache Drop,₹200,https://www.1mg.com/otc/bakson-b12-headache-drop-otc388023,"Bakson's B12 Headache Drop This homoeopathic medicine for migraine and tension headaches is a safe and effective way to alleviate your pain and discomfort.Bakson's B12 Headache Drops work by addressing the root cause of your headaches and migraines, rather than just masking the symptoms. This powerful homoeopathic remedy helps to stimulate the body's natural healing processes, allowing you to find relief from your pain without relying on harsh chemicals or prescription medications.When you use Bakson's B12 Headache Drops, you'll experience a range of benefits, including relief from headache and migraine pain, reduced sensitivity to light and sound, improved overall well-being and mood, and no side effects or risk of addiction.Bakson's B12 Headache Drops are free from harmful chemicals and synthetic ingredients. This homoeopathic medicine for tension headaches and migraine is safe for use by people of all ages and is gentle enough for daily use.Key Ingredients:Cimicifuga racGelsemium sempIris verSanguinaria canSpigeliaKey Benefits:Bakson's B12 headache drop is a homoeopathic formula for headaches and migraineThis homoeopathic formula for migraine addresses the root cause of headachesBakson's B12 headache drops offer relief from headache and migraine pain, reduce sensitivity to light and sound, and improve overall well-being and moodThis homoeopathic medicine for stress, headaches, and migraine is free from harmful chemicals and synthetic ingredientsBakson's B12 headache drops are safe for use by people of all ages and are gentle enough for daily useDirections for Use:As directed by the healthcare professional.Safety Information:Read the label carefullyStore in a cool, dry placeKeep out of reach of childrenDo not exceed the recommended dose"
